Title,Date,Author
"US-Israel ties tested by Abu Akleh's death, but both sides seek to contain friction",2022-09-09,Ariel Kahana
'Einstein was a genius but there were also paradoxes in his personality',2022-09-09,Keren Dotan
Biden nominates Jewish lawyer to serve as delegate for UN General Assembly,2022-09-09,JNS and ILH Staff
Security forces thwart 'significant' terror attack in Tel Aviv,2022-09-09,"Yaron Doron, Itsik Saban and JNS"
'Beacon of integrity': Israeli leaders bid farewell to Queen Elizabeth II,2022-09-09,ILH Staff
US negotiator arrives in Israel as maritime talks with Lebanon stall again,2022-09-09,Tamir Morag
Queen Elizabeth II dies at 96,2022-09-08,ILH Staff
Two companies announce partnership as part of SpaceIL lunar missions,2022-09-08,ILH Staff
Why Azerbaijan is a pivotal ally of Israel,2022-09-08,Ayoob Kara
US says Russia forcibly deporting hundreds of thousands of Ukrainians,2022-09-08,AP and ILH Staff
Obamas return to White House for portraits unveiling,2022-09-08,i24NEWS and ILH Staff
Shekel falls to its lowest level versus dollar since July,2022-09-08,JNS and ILH Staff
Terrorist killed after attacking IDF soldier with hammer,2022-09-08,Hanan Greenwood and Lilach Shoval
Last suspect in Canada stabbing spree dies soon after arrest,2022-09-08,AP and ILH Staff
Likud hopes high ahead of election; 'victory strategy' to focus on voter turnout,2022-09-08,Mati Tuchfeld
'Nobody will tell Israel how to protect itself',2022-09-08,Ariel Kahana and Tamir Morag
"IAEA sees spike in Iran's enrichment level, suggests program 'not exclusively peaceful'",2022-09-07,Reuters and ILH Staff
Rare yellowfin tuna spotted in shallow water in Gulf of Eilat,2022-09-07,Assaf Golan
"Palestinian schoolbooks deny Holocaust, legitimize Munich massacre",2022-09-07,Ariel Kahana
'Jewish foodie': exploring American Jewish communities through food,2022-09-07,JNS and ILH Staff
Terrorist killed after throwing IED on troops,2022-09-07,i24NEWS and ILH Staff
Putin says Truss election as British leader 'far from democratic',2022-09-07,Reuters and ILH Staff
'Israel and Germany must act together to protect Jewish national home',2022-09-07,Reuters and ILH Staff
"Putin says Russia turning to Iran to offset sanctions, 'impossible' to isolate country",2022-09-07,"Reuters, AP and ILH Staff"
Russian rabbis call for peace in Ukraine,2022-09-07,AP and ILH Staff
Russia poised to buy rockets from North Korea in 'sign of desperation',2022-09-07,AP and ILH Staff
Israel repatriates rare papyrus script from First Temple period,2022-09-07,Yori Yalon and i24NEWS
Bennett lambasts US pressure to review IDF rules of engagement,2022-09-07,Ariel Kahana and i24NEWS
Ben & Jerry's makes another attempt at ceasing Israel ice cream sale,2022-09-07,Reuters and ILH Staff
Report: Documents from Mar-a-Lago raid relate to 'foreign nation's nuclear capabilities',2022-09-07,Reuters and ILH Staff
Syria alleges late-night Israeli attack put Aleppo airport out of commission,2022-09-06,AP and ILH Staff
Liz Truss becomes Britain's new prime minister,2022-09-06,AP and ILH Staff
Johnson says he is 'like a booster rocket that has fulfilled its function',2022-09-06,AP and ILH Staff
Rare ivories discovered in capital could date back to First Temple period,2022-09-06,JNS and ILH Staff
Israeli president says Yizkor for Holocaust victims in emotional address to German parliament,2022-09-06,"Uri Dagon, AP and ILH Staff"
"'We cannot make right what happened,' German leader says to families of 1972 Olympics massacre",2022-09-06,"Uri Dagon, AP, Reuters and ILH Staff"
Officials: Unclear if Abu Akleh report sufficient to fend off pressure,2022-09-06,"Ariel Kahana, Lilach Shoval, AP and ILH Staff"
'We will never tie Israel's hands in the event that it needs to defend itself',2022-09-06,JNS and ILH Staff
US B-52 bombers fly over Middle East amid tensions with Iran,2022-09-05,AP and ILH Staff
"Iran-linked hackers release Mossad chief's medical records, personal photos",2022-09-05,JNS and ILH Staff
Israeli NGO comes under scrutiny over donations for Syrian refugees,2022-09-05,Hanan Greenwood
Blast at Russian Embassy in Kabul leaves 2 staff among dead,2022-09-05,AP and ILH Staff
Las Vegas Review-Journal investigative reporter killed outside home,2022-09-05,David Wilson/Las Vegas Review-Journal
"Gantz taps former intel chief, GOC southern command as new IDF commander",2022-09-05,JNS and ILH Staff
"'We want equal treatment for our citizens on both sides of the Green Line,' US source tells Israel Hayom",2022-09-05,"Ariel Kahana, AP and ILH Staff"
IDF detains 17 Palestinians in series of raids following Sunday's terrorist attacks,2022-09-05,"Lilach Shoval, i24NEWS and ILH Staff"
Israel reportedly to publish results of Abu Akleh probe,2022-09-05,ILH Staff
German president accepts state's responsibility for not preventing 1972 massacre,2022-09-04,"Uri Dagon, Reuters and ILH Staff"
Israeli soldier wounded in stabbing attack on Friday,2022-09-04,i24NEWS and ILH Staff
Hamas executes 5 Palestinians in Gaza,2022-09-04,Dana Ben-Shimon and Reuters
Perpetrators arrested after Jordan Valley shooting attack leaves several injured,2022-09-04,ILH Staff
"Survivor of Holocaust, Munich attack heads back to Germany",2022-09-04,AP and ILH Staff
'Enigmatic find': Israeli archaeologists discover tusk of ancient elephant,2022-09-04,AP and ILH Staff
The Iran nuclear talks' unavoidable impact on the Israeli election,2022-09-04,Yoav Limor
Iran briefly seizes 2 US drones in Red Sea amid tensions,2022-09-04,AP and ILH Staff
Trump calls Biden 'enemy of the state' at Pennsylvania rally,2022-09-04,i24NEWS and ILH Staff
Fuel leak ruins NASA moon rocket launch bid,2022-09-04,AP and ILH Staff
Russians bid farewell to last Soviet leader Gorbachev,2022-09-04,Reuters and ILH Staff
5-year-old hospitalized after being hit by electric bike,2022-09-04,Yaron Doron
Russia reportedly demands Iran leave Syrian sites,2022-09-04,Dana Ben-Shimon
'Iran is buying time to get more concessions in nuclear deal',2022-09-04,Ariel Kahana
'NSO accusations were part of international disinformation campaign',2022-09-02,Ariel Kahana
IAF to buy 4 Boeing air-force refueling tankers for $927M,2022-09-02,Lilach Shoval and JNS
Iranian Olympic wrestler praises Hitler as his inspiration,2022-09-02,JNS and ILH Staff
The return of the 'Palestinian issue',2022-09-02,Ariel Bulshtein
"Lapid speaks with Zelenskyy on war, diplomacy",2022-09-02,i24NEWS and ILH Staff
Rising cost of living takes center stage as election campaigns heat up,2022-09-02,Amir Ettinger
Argentina's VP unharmed after failed assassination attempt,2022-09-02,AP and ILH Staff
Bipartisan letter urges Biden to reconsider renewing nuclear deal,2022-09-02,Ariel Kahana
UN inspectors head to Ukraine nuclear plant despite fighting,2022-09-01,Neta Bar and AP
China locks down 21 million in Chengdu in COVID outbreak,2022-09-01,AP and ILH Staff
"Germany, families of Munich victims reach compensation agreement",2022-09-01,Eldad Beck and JNS
"Syria accuses Israel of striking Aleppo airport, Damascus",2022-09-01,Shachar Kleiman and JNS
2.5 million Israeli children begin school as planned after teachers' strike averted,2022-09-01,i24NEWS and ILH Staff
IDF names soldier who died in tank training exercise,2022-09-01,"Lilach Shoval, Hanan Greenwood and Ilya Egorov"
Palestinian terrorist ends 171-day hunger strike,2022-09-01,"Michel Makhoul, Dana Ben-Shimon and Hanan Greenwood"
"In call with Lapid, Biden vows to never allow Iran to get nuclear weapon",2022-09-01,"Tamir Morag, Ariel Kahana and Reuters"
The significance of Armenia's withdrawal from Lachin for Israel,2022-08-31,Rachel Avraham
Remains found at medieval site identified as Jewish pogrom victims,2022-08-31,Neta Bar
Following the money: How German state funds reach left-wing groups in Israel,2022-08-31,Yifat Erlich
Ukraine chief rabbi cautions Jewish pilgrims against traveling to Uman,2022-08-31,i24NEWS and ILH Staff
World leaders mourn passing of 'rare leader' Mikhail Gorbachev,2022-08-31,AP and ILH Staff
Isolationist Haredi group opens first state-run school,2022-08-31,Noam Dvir
Iraqi cleric calls off protests after worst Baghdad violence in years,2022-08-31,Reuters and ILH Staff
Fugitive former MK suspected of sending cash-stuffed suitcases to Arab party,2022-08-31,Netael Bandel
"US Navy says Iran seized, later let go of American sea drone",2022-08-31,AP and ILH Staff
Italy's Salvini tells Israel Hayom he would deliver on promise to move embassy,2022-08-30,Eldad Beck
"In Basel, Herzl's Zionist covenant got renewed",2022-08-30,Omer Lachmanovitch
"Judge: Congregation at oldest US synagogue can stay, for now",2022-08-30,AP and ILH Staff
Russia reportedly running into problems with Iran-made drones,2022-08-30,AP and ILH Staff
Senior Israeli official hints J Street should not be considered pro-Israel,2022-08-30,Tamir Morag
Israeli forces capture terrorists in Nablus following hours-long standoff,2022-08-30,AP and ILH Staff
"In latest provocation, Iran activates IR-6 centrifuges at Natanz's underground enrichment facility",2022-08-30,Reuters and ILH Staff
NASA presses toward moon rocket launch after fuel leak,2022-08-29,AP and ILH Staff
Israeli businessman Beny Steinmetz's appeal to begin in Geneva,2022-08-29,Reuters and ILH Staff
Ukrainian woman posing as Rothschild heiress infiltrates Mar-a-Lago,2022-08-29,i24NEWS and ILH Staff
"Lapid, Netanyahu trade barbs over Iran nuclear deal",2022-08-29,i24NEWS and ILH Staff
IAEA chief says mission to troubled Ukraine nuclear plant on way,2022-08-29,AP and ILH Staff
Iranian president warns attack could mean 'nothing remains from Zionist regime',2022-08-29,AP and ILH Staff
Where it all began: The gathering that sparked Zionism,2022-08-29,Eyal Levi
"US, Iran finesse issue of IAEA's nuclear probes as deal inches closer",2022-08-29,Reuters and ILH Staff
Ukraine says Russia could time missile attacks to hit Jewish pilgrims,2022-08-28,Tamir Morag
Chinese military says monitoring US Navy in Taiwan Strait,2022-08-28,Reuters and ILH Staff
Gal Gadot visits children in Gaza border town,2022-08-28,JNS and ILH Staff
Debut novel offers original perspective on Theodor Herzl,2022-08-28,Ariel Bulshtein
Lapid makes historic appearance at LGBTQ event,2022-08-28,Noam Dvir
Pro-Russia forces in Ukraine free captured Israeli man,2022-08-28,JNS and AP
Jewish world poised to mark 125th anniversary of First Zionist Congress,2022-08-28,Yori Yalon
"Lapid, Biden to discuss nuclear deal in phone call",2022-08-28,Ariel Kahana and Lilach Shoval
Former intel chiefs urge preparations for possible military conflict with Iran,2022-08-28,Tamir Morag and Hanan Greenwood
"A lack of economic leadership, a political price",2022-08-26,Amnon Lord
"Anti-Israel candidate loses in NY primary; Nadler gets 16th term, defeating Maloney",2022-08-26,Dmitriy Shapiro/JNS
A Netanyahu victory could come with worries for his allies,2022-08-26,Mati Tuchfeld
Israel's bumps strategy on the new Iran deal,2022-08-26,Ariel Kahana
Syrian state media says 2 civilians wounded in Israeli strikes,2022-08-26,AP and ILH Staff
Russian procurement of Iranian drones complicates nuclear talks,2022-08-26,AP and ILH Staff
Israel indicts terrorist whose capture sparked latest Gaza conflict,2022-08-26,Reuters and ILH Staff
Last effort by Israel to prevent nuclear deal might just pay off,2022-08-26,Yoav Limor
"At CENTCOM, Gantz vows to prevent Iran from from getting nuclear bomb",2022-08-26,Yoav Limor and Lilach Shoval
Right fumes as transportation minister mulls operating Tel Aviv light rail on Shabbat,2022-08-25,i24NEWS and ILH Staff
Terrorists in Gaza hold parade after latest flare-up with Israel,2022-08-25,AP and ILH Staff
Woman in critical condition after choking on pastry,2022-08-25,Avi Cohen
Last Jew from Saudi village appeals to king to visit hometown,2022-08-25,Shachar Kleiman
Israeli kidnapped in Brazil released unharmed after ransom paid,2022-08-25,JNS and ILH Staff
Ukraine Independence Day marred by violence as 22 reported killed in Russian strike,2022-08-25,AP and ILH Staff
"With agreement appearing close, Lapid urges West to reject Iran nuclear deal",2022-08-25,"Ariel Kahana, Tamir Morag and AP"
White House says Biden to use 'whatever means necessary' to deny Iran nuclear bomb,2022-08-25,"AP, Reuters and ILH Staff"
Iran to ban inspections not agreed upon in 2015 nuclear deal,2022-08-24,Reuters and ILH Staff
Maccabi Haifa's Champions League advance stuns Israelis,2022-08-24,i24NEWS and ILH Staff
Russia condemns alleged Israeli missile strikes on Syria,2022-08-24,Reuters and ILH Staff
"Noor Dahri: Pakistani-born Muslim, counterterrorism expert â¦ and Zionist",2022-08-24,Alex Traiman
"Amid rising inflation, Bank of Israel makes biggest interest rate hike in 20 years",2022-08-24,JNS and ILH Staff
WATCH: Ukraine chief rabbi releases song in honor of country's Independence Day,2022-08-24,David Baron
Ukraine gears to mark Independence Day amid fears of stepped-up attacks,2022-08-24,AP and ILH Staff
Bennett calls on Biden not to renew nuclear deal with Iran,2022-08-24,AP and ILH Staff
Gantz heads to US as Israeli officials say 'not too late to prevent nuclear deal',2022-08-24,Ariel Kahana
US airstrikes target areas controlled by IRGC-backed militia in Syria,2022-08-24,AP and ILH Staff
Nuclear deal moves closer as US says Iran has 'finally crossed the Rubicon',2022-08-23,Reuters and ILH Staff
"1,200-year-old mansion unearthed at Negev Bedouin town",2022-08-23,"Yori Yalon, i24NEWS and ILH Staff"
US federal ruling a sweet victory for Ben & Jerry's Israel,2022-08-23,AP and ILH Staff
Israel's new envoy to Germany says 'the past is part of our relationship',2022-08-23,Ariel Kahana
Tel Aviv vegan restaurant that burned down reopens as pop-up,2022-08-23,Liran Ohali
Report: Apple to start making iPhone 14 in India,2022-08-23,Reuters and ILH Staff
Polish president arrives in Kyiv to discuss aid for Ukraine,2022-08-23,Reuters and ILH Staff
Israel reinstates PCR tests at Ben-Gurion Airport,2022-08-23,Shimon Yaish
Palestinian prisoner on hunger strike reported in 'critical condition',2022-08-23,AP and ILH Staff
Bank of Israel raises interest rate to 2%,2022-08-23,Hili Yacobi-Handelsman
Farmers in Egypt's 'mango city' adapt to battle climate change,2022-08-23,Reuters and ILH Staff
Shaked: We'll form a unity government with a right-wing majority,2022-08-23,Amir Ettinger
Cyprus finds new natural gas in boon to energy-starved Europe,2022-08-23,AP and ILH Staff
Montreal native is Likud's point man for Anglo immigrants,2022-08-23,Maayan Hoffman/JNS
"Leaders of Egypt, Iraq, Jordan, UAE, and Bahrain meet in el-Alamein",2022-08-23,AP and ILH Staff
Iran suffers another blow as IRGC officer killed in Syria,2022-08-23,Damian Pachter
Gantz cites parts of Jerusalem as 'possible' Palestinian capital,2022-08-22,i24NEWS and ILH Staff
Daughter of Putin ally killed in suspected car bomb attack,2022-08-22,Reuters and ILH Staff
Chief of Israel's beleaguered NSO Group spyware firm steps down,2022-08-22,AP and ILH Staff
Lapid to travel to Germany to discuss procurement of Israel's Arrow 3 missile defense system,2022-08-22,Ariel Kahana
"US, S. Korea open largest military drills in yearsÂ",2022-08-22,AP and ILH Staff
Survey finds nearly half of Israelis consider Russia an 'enemy',2022-08-22,i24NEWS and ILH Staff
Iran: Prisoner swap with US not linked to nuclear talks,2022-08-22,Reuters and ILH Staff
Former Pakistani PM faces terrorism charges,2022-08-22,AP and ILH Staff
'Germany should send money to families of Munich victims rather than Palestinians',2022-08-22,Eldad Beck
Moscow is having a hard time facing the costs of the Ukraine war,2022-08-22,Neta Bar
Red flag: Bull charges bank in industrial zone outside Lod,2022-08-22,Assaf Golan and Efrat Forsher
At least 4 killed when landslide crushes Shiite shrine in Iraq,2022-08-22,"Shachar Kleiman, Reuters and ILH Staff"
Russian court postpones ruling on fate of Jewish Agency for 30 days,2022-08-22,JNS and ILH Staff
US sticks to talks on releasing billions of Afghan assets despite Taliban dawdling,2022-08-22,Reuters and ILH Staff
UAE planning to return ambassador to Iran as ties upgraded,2022-08-22,Reuters and ILH Staff
Arkia's pilot program to open flights to Palestinians takes off,2022-08-22,Shimon Yaish
Artem Dolgopyat wins gold medal at European Gymnastics Championships,2022-08-22,Oren Aharoni and i24NEWS
Shas spiritual leader Rabbi Shalom Cohen dies at 91,2022-08-22,Hanan Greenwood
Palestinian laborers strike over plan to pay wages through PA banks,2022-08-22,"Dana Ben-Shimon, Reuters and ILH Staff"
Packed Israeli bus in Samaria targeted by gunfire from Palestinian village,2022-08-22,JNS and ILH Staff
"Report: Cyprus, Israel reach deal on Iron Dome sale",2022-08-21,Uri Roodrigues Garcia and i24NEWS
Russia claims 3 uses of hypersonic missiles in Ukraine war,2022-08-21,Reuters and ILH Staff
Who wins and who loses when the shekel gains?,2022-08-21,Hili Yacobi-Handelsman
In pursuit of the legendary lost tabernacle,2022-08-21,Hanan Greenwood
Germany's new envoy to Israel turns on the charm on Twitter,2022-08-21,Orit Arfa /JNS
Ben-Gurion Airport to introduce self-service luggage check-in,2022-08-21,i24NEWS and ILH Staff
2 killed when shipping container drops at northern Israel construction site,2022-08-21,Michel Makhoul
Turkey reports 2 more grain ships have left UkraineÂ,2022-08-21,Reuters and ILH Staff
IDF troops stop car carrying over 200 lbs. of drugs,2022-08-21,ILH Staff
Security forces evacuate Maaleh Yonatan outpost,2022-08-21,Hanan Greenwood
ISIS operative gets life in prison for killing American hostages,2022-08-21,Reuters and ILH Staff
9 European nations condemn Israeli raids on PFLP-linked NGOs,2022-08-21,Tamir Morag and News Agencies
Terrorist shooting by all-female cell thwarted in nick of time Â Â,2022-08-21,Lilach Shoval and i24NEWS
"'Iran deal or not, rejection of Lebanese demands will lead to escalation'",2022-08-21,Shachar Kleiman and Reuters
Great balls of plastic: Beach sculpture carries environmental warning,2022-08-21,i24NEWS and ILH Staff
"'No safe haven' for Zionists, IRGC commander warns",2022-08-21,i24NEWS and ILH Staff
El Al flight from Brussels to Tel Aviv diverted after sparks fly in galley,2022-08-19,Shimon Yaish
Renowned Iran art museum closes to handle pest infestation,2022-08-19,AP and ILH Staff
President Herzog intends to smash political impasse,2022-08-19,Ariel Kahana
"Caving in to Iranian pressure, Oman keeps Israeli flights out of its skies",2022-08-19,Shimon Yaish and Tamir Morag
Far-right party leader weighs reserved slot for Jonathan Pollard,2022-08-19,Amir Ettinger
Israeli high-tech companies resume recruitment in Ukraine,2022-08-19,ILH Staff
"Apple warns of security flaw in iPhones, iPads and Macs",2022-08-19,AP and ILH Staff
"In southern Israel, 2 political camps bond under one siren",2022-08-19,Yoav Limor
"IDF struck 'third country' during latest Gaza operation, chief says",2022-08-19,i24NEWS and ILH Staff
"Designer Giorgio Armani, guests flee wildfire on Sicilian island",2022-08-19,AP and ILH Staff
Abbas' Holocaust comments spark probe by Berlin police,2022-08-19,AP and ILH Staff
Elephant in Pakistan gets relief after years of dental pain,2022-08-19,Reuters and ILH Staff
Trial to decide fate of Jewish Agency in Russia begins,2022-08-19,Tamir Morag
"Mossad breaks tradition, reports women serving at highest intel roles",2022-08-19,"Ariel Kahana, JNS and ILH Staff"
Nick Cave slated to perform in Rishon Lezion,2022-08-19,i24NEWS and ILH Staff
Conflict and climate change are drying up Jordan River,2022-08-19,AP and ILH Staff
"'A dream come true': Israel welcomes 75,000th new immigrant",2022-08-19,Efrat Forsher
Dubai court rules on cause of 2021 port explosion,2022-08-19,AP and ILH Staff
Abbas walks back comments accusing Israel of committing '50 Holocausts',2022-08-19,JNS and ILH Staff
US 'in contact' with Israel to review basis for raid on blacklisted Palestinian NGOs,2022-08-18,"Reuters, AP and ILH Staff"
"Zelenskyy hosts Lviv talks with UN chief, Turkish leader",2022-08-18,AP and ILH Staff
"Preparedness for land warfare remains crucial, think tank tells president",2022-08-18,ILH Staff
Iran building its own online ISIS in AmericaÂ Â Â,2022-08-18,Daniel Greenfield
Kabul bombing leaves 21 dead,2022-08-18,Reuters and ILH Staff
"Senior official: If Erdogan reverts to anti-Israel posture, Jerusalem will respond in kind",2022-08-18,Ariel Kahana
American Airlines to slash US-Israel flight time in half,2022-08-18,Shimon Yaish
Israeli athletes visiting Munich massacre memorial shocked by Nazi salute,2022-08-18,Oren Aharoni
Rushdie's attacker lauds Khomenei as 'a great person',2022-08-18,AP and ILH Staff
Terrorist killed after Jewish worshippers attacked at Joseph's Tomb,2022-08-18,Dana Ben-Shimon and Lilach Shoval
"Israel, Turkey to exchange ambassadors in diplomatic reset",2022-08-17,AP and ILH Staff
Experts warn emerging nuclear deal puts world 'five minutes from disaster',2022-08-17,Tamir Morag
"Report highlights 'glaring' antisemitism in entertainment, sports, music",2022-08-17,Ryan Torok/JNS
Magazine article on 'fat' Arab women sparks backlash,2022-08-17,AP and ILH Staff
Report: Iran identifies its first case of monkeypox,2022-08-17,Reuters and ILH Staff
3 Arab Israelis thwarted from joining Islamic State,2022-08-17,i24NEWS and ILH Staff
Second Temple Period artifacts 'in danger' due to construction works in Hebron,2022-08-17,Hanan Greenwood
Netanyahu says he is 'very excited' about upcoming memoir,2022-08-17,AP and ILH Staff
Rare collection of knuckle bones for gambling discovered in Israel,2022-08-17,i24NEWS and ILH Staff
Israeli students take first place in international math competition,2022-08-17,i24NEWS and ILH Staff
The IDF has to answer the tough questions,2022-08-17,Yoav Limor
Israeli swimmer Gorbenko wins 2nd European gold,2022-08-17,"Oren Aharoni, i24NEWS and ILH Staff"
"US, EU studying Iran's response to final nuke deal draft",2022-08-17,AP and ILH Staff
Soldier killed in friendly fire tragedy laid to rest,2022-08-17,Yaron Doron and Lilach Shoval
PA leader in Germany: Israel perpetrated '50 Holocausts' against Palestinians,2022-08-17,Tamir Morag and Shachar Kleiman
'Any organization operating in a particular state should follow its laws and the Jewish Agency is no exception',2022-08-16,Eldad Beck
Watch: Garbage truck dumps trash at sacred site on Temple Mount,2022-08-16,Yori Yalon
Iran says Swedish citizen detained for espionage might face other charges,2022-08-16,Reuters and ILH Staff
20 killed in Pakistan when speeding bus hits oil tanker,2022-08-16,Reuters and ILH Staff
University of Melbourne student union passes BDS measure by large margin,2022-08-16,JNS and ILH Staff
New Shanghai ranking has 3 Israeli universities in top 100,2022-08-16,ILH Staff
Ben & Jerry's clash with Unilever makes Israel a test case,2022-08-16,Reuters and ILH Staff
Israeli man drowns while on vacation in Sinai,2022-08-16,Shimon Yaish
"Car rolls into sidewalk cafÃ© in Ashkelon, injuring 2",2022-08-16,Ilya Egorov
Syrian pistachio farmers struggle to salvage 'golden' cropÂ,2022-08-16,Reuters and ILH Staff
Israeli leaders tout special relations at India Independence Day event,2022-08-16,Erez Linn
"Housing prices jump by 18%, inflation highest in 14 years",2022-08-16,Sonia Gorodeisky
Israel's UN envoy backs official who condemned Palestinian Islamic Jihad rocket fire,2022-08-16,JNS and ILH Staff
Israeli men's marathon team wins gold in Munich,2022-08-16,"Oren Aharoni, i24NEWS and ILH Staff"
Head of far-right Otzma Yehudit party announces solo run in upcoming election,2022-08-16,Yehuda Shlezinger and i24NEWS
Iran responds to draft of new nuclear deal,2022-08-16,"Damian Pachter, News Agencies and ILH Staff"
IDF spokesman: Soldiers in lethal friendly fire incident were 'experienced',2022-08-16,Lilach Shoval
Iran denies involvement but justifies Salman Rushdie attack,2022-08-15,AP and ILH Staff
IDF destroys Hamas tunnel leading into Israel,2022-08-15,Lilach Shoval and i24NEWS
China stages more drills near Taiwan as US lawmakers visit,2022-08-15,Reuters and ILH Staff
India celebrates 75 years of independence,2022-08-15,Reuters and ILH Staff
Terrorist killed after stabbing attempt against undercover officers,2022-08-15,ILH Staff
Confidential police report reveals Arab drivers responsible for 52% of fatal accidents,2022-08-15,Itsik Saban
Report: Trump letter to Netanyahu authorized Israeli sovereignty in Judea and Samaria,2022-08-15,Ariel Kahana
Syrian military alleges Israeli strike near Russia's Mediterranean bases,2022-08-15,AP and ILH Staff
'Rushdie's attacker had direct contact with Iran's Revolutionary Guards',2022-08-15,Neta Bar
Kuwait names first ambassador to Iran in over 6 years,2022-08-14,Reuters and ILH Staff
Israeli culture world loses giant as Svika Pick dies at 72,2022-08-14,AP and ILH Staff
"Salman Rushdie 'on the road to recovery,' agent says",2022-08-14,AP and ILH Staff
At least 41 killed in Egyptian church fire due to electrical fault,2022-08-14,Reuters and ILH Staff
'Doing good must become main mission of the business world',2022-08-14,ILH Staff
"Biden under pressure to suspend Iran talks after Rushdie attack, weak condemnation",2022-08-14,ILH Staff
Israeli pop icon Svika Pick dies at 72,2022-08-14,Eran Swissa
"Russian officials trained in Iran as part of drone deal, US says",2022-08-14,Reuters and ILH Staff
Saudi influencer: Hope our nation signs peace treaty with Israel,2022-08-14,Ariel Ben Solomon/JNS
NYT reportedly cuts Gaza stringer loose for urging murder of Israelis,2022-08-14,ILH Staff
Anne Heche dies after being pulled off life supportÂ,2022-08-14,News Agencies and ILH Staff
Pro-Palestinian student group at Ohio State University holds vigil honoring slain terrorist,2022-08-14,Andrew Jose/JNS
"Ex-IDF chief Eizenkot plunges into politics, joins Gantz-Sa'ar alliance",2022-08-14,Yehuda Shlezinger
"Salman Rushdie stabbing met with shock, outrage",2022-08-14,Damian Pachter and News Agencies
FBI seized top secret documents in Trump estate search,2022-08-14,AP and ILH Staff
'We did everything possible to rescue Ron Arad',2022-08-14,Lilach Shoval
"Missouri man admits plan to bomb local synagogue, says he hates Jews 'with rage'",2022-08-14,JNS and ILH Staff
Germany regrets boycott by Munich attack victims' families,2022-08-14,AP and ILH Staff
"NY governor signs legislation to aid Holocaust survivors, support education",2022-08-14,JNS and ILH Staff
UN official ousted after voicing criticism of Palestinian Islamic Jihad,2022-08-14,Damian Pachter
Police apprehend terrorist who shot 8 in Jerusalem,2022-08-14,"Michel Makhoul, Yori Yalon, Hanan Greenwood and AP"
'Pro-Israel? That's a dirty moniker where I come from',2022-08-12,Erez Linn
Iran: EU nuke talks proposal could be 'acceptable',2022-08-12,Reuters and ILH Staff
Consortium to invest NIS 300 million in medical startups,2022-08-12,ILH Staff
Behind the scenes of Operation Breaking Dawn,2022-08-12,Yoav Limor
"'As IDF fought terrorism in Gaza, we waged battle on disinformation'",2022-08-12,Tamir Morag
Kyiv street to be named after Golda Meir,2022-08-12,i24NEWS and ILH Staff
"'The energy future of the world is green, not gas'",2022-08-12,Yoav Limor
Entrepreneurship program gives Bedouin businesswomen a boost,2022-08-12,i24NEWS and ILH Staff
Australia's most populous state outlaws public displays of Nazi swastikas,2022-08-12,AP and ILH Staff
El Al chief expects permission to fly over Oman 'within days',2022-08-12,Reuters and ILH Staff
Ben-Gurion Airport luggage backlog leads police to suitcase full of drugs,2022-08-12,Reuters and ILH Staff
Israeli tech turns avocado pits into beauty aids,2022-08-12,ILH Staff
Qatar moves World Cup finals up one day,2022-08-12,Reuters and ILH Staff
Tourism Ministry reports Korean Air to resume flights to Israel in JanuaryÂ,2022-08-12,Reuters and ILH Staff
"2 years into the Abraham Accords, is the honeymoon over?",2022-08-12,Ariel Kahana
3 killed when bus plows into Jerusalem storefront,2022-08-12,Yori Yalon and i24NEWS
"UK prime minister candidate to review moving embassy to Jerusalem, if elected",2022-08-12,JNS and ILH Staff
Women's rights group calls on Washington to redesignate Yemen's Houthis as terrorists,2022-08-12,Dmitriy Shapiro/JNS
'Anyone who talks about the post-Netanyahu era probably wants it to arrive' Â,2022-08-12,Yehuda Shlezinger
Chief rabbis criticized for 'neglecting conversion processes',2022-08-12,Hanan Greenwood
US says Russian officials trained in Iran as part of drone deal,2022-08-11,Reuters and ILH Staff
'He saved our lives:' Counterterrorism unit bids farewell to hero dog,2022-08-11,Itsik Saban
2 Israelis killed in car accident in UKÂ,2022-08-11,Shimon Yaish
Likud's Knesset slate undergoes major overhaul following dramatic primariesÂ,2022-08-11,Amir Ettinger and Yehuda Shlezinger
Maritime compromise not a solution for Hezbollah,2022-08-11,Shachar Kleiman
The future is here: Israeli researchers develop nanotechnology to fight cancer,2022-08-11,JNS and ILH Staff
"Evading sanctions, Iran places first import order using cryptocurrency",2022-08-11,Reuters and ILH Staff
Far-right activist Michael Ben Ari to face incitement charges,2022-08-11,Netael Bandel
Antisemitic fliers again dropped over homes in Houston area,2022-08-11,JNS and ILH Staff
Could continuous IDF activity in West Bank turn Palestinians against Abbas?,2022-08-11,Dana Ben-Shimon
Some 700 Jewish teens graduate Diller Fellowship program,2022-08-11,JNS and ILH Staff
Jewish groups fume at construction of illegal Palestinian water park,2022-08-11,Hanan Greenwood
Hamas attempts to muzzle foreign journalists covering latest Gaza conflict,2022-08-11,JNS and ILH Staff
Passing the buck? Israel zigzags on Amnesty tax exemptions,2022-08-11,Tamir Morag
"Russian journalist detained, charged over war criticism",2022-08-11,AP and ILH Staff
"'Iran's rulers are liars,' former Trump adviser says after assassination plot revealed",2022-08-10,AP and ILH Staff
Jewish neighborhood patrol group in Brooklyn sets out to train Asian neighbors,2022-08-10,JNS and ILH Staff
